,fname,label,manually_verified
11,0075d39c.wav,Keys_jangling,0
15,0097160c.wav,Laughter,1
16,00ad7068.wav,Laughter,0
17,00c5808a.wav,Tearing,0
19,00c934d7.wav,Laughter,1
27,00e2b4cd.wav,Bark,1
51,0193042e.wav,Fireworks,0
53,019aae9d.wav,Fireworks,0
54,019d2a2c.wav,Bark,1
66,01ec7a01.wav,Tearing,0
70,020eb9f6.wav,Bark,1
72,022092bc.wav,Keys_jangling,0
79,0236dccb.wav,Cowbell,0
81,0244bb9e.wav,Fireworks,0
82,024a193f.wav,Laughter,1
85,0256c2f2.wav,Keys_jangling,1
90,0266774c.wav,Cowbell,0
93,027aee2a.wav,Fireworks,1
94,027cd3fd.wav,Meow,1
97,029b22f3.wav,Keys_jangling,0
101,02c095b4.wav,Tearing,0
111,032f7280.wav,Drawer_open_or_close,0
112,03320f05.wav,Applause,0
114,034beca1.wav,Fireworks,0
116,0350156b.wav,Keys_jangling,0
119,03586ad9.wav,Cowbell,0
125,03b4aca1.wav,Meow,1
128,03cd971f.wav,Cowbell,0
133,03e9765d.wav,Drawer_open_or_close,0
139,041396a9.wav,Laughter,1
141,04281949.wav,Tearing,0
142,0429828b.wav,Fireworks,0
147,0447d04d.wav,Laughter,0
152,0457d8bc.wav,Bark,0
158,048fb352.wav,Applause,0
162,04ab05a7.wav,Bark,0
175,05173c4d.wav,Bark,0
178,052789c8.wav,Fireworks,1
180,05388f6c.wav,Applause,0
187,05a458a7.wav,Fireworks,0
208,0632d921.wav,Laughter,0
209,0640c787.wav,Applause,0
210,06487815.wav,Drawer_open_or_close,1
214,06712325.wav,Laughter,0
229,06d2b52b.wav,Cowbell,1
230,06dbf664.wav,Fireworks,0
231,06dd3b18.wav,Bark,0
233,06e87b61.wav,Bark,0
236,06fbb272.wav,Drawer_open_or_close,0
239,070183b1.wav,Fireworks,0
241,0704ffb8.wav,Bark,0
253,0733ce78.wav,Laughter,0
259,07563fea.wav,Drawer_open_or_close,0
260,07605b4c.wav,Bark,0
263,07762f74.wav,Tearing,1
267,078c67e5.wav,Tearing,0
271,07a16abd.wav,Tearing,0
276,07b910ee.wav,Cowbell,0
288,081c263d.wav,Keys_jangling,1
293,086dfaff.wav,Bark,0
296,087f12b6.wav,Cowbell,1
308,08cf2d2b.wav,Bark,0
315,090e1d30.wav,Cowbell,1
318,0920512f.wav,Tearing,1
321,0939d783.wav,Bark,0
327,096b4d70.wav,Keys_jangling,0
330,098a3205.wav,Bark,0
331,098c2232.wav,Laughter,0
333,09986ba4.wav,Laughter,0
337,09a585bf.wav,Keys_jangling,1
341,09a7dc35.wav,Cowbell,1
343,09b51c66.wav,Fireworks,0
346,09bc3033.wav,Drawer_open_or_close,0
349,0a037e96.wav,Fireworks,0
355,0a32271b.wav,Meow,0
358,0a49afad.wav,Fireworks,1
360,0a6bba04.wav,Cowbell,1
362,0a82b4d6.wav,Tearing,0
369,0aa7edd0.wav,Cowbell,0
373,0ac443ad.wav,Bark,0
379,0ade0819.wav,Cowbell,0
393,0b4dc8fc.wav,Fireworks,0
396,0b5ea11d.wav,Keys_jangling,0
402,0b7f8989.wav,Bark,0
405,0b914d51.wav,Meow,0
410,0ba8bcc2.wav,Laughter,0
413,0bb6b85a.wav,Keys_jangling,0
414,0bc522f3.wav,Keys_jangling,1
416,0bd9f47b.wav,Laughter,1
421,0bf505c1.wav,Tearing,0
424,0c0f796c.wav,Meow,1
435,0c4948ba.wav,Keys_jangling,0
438,0c66ddcb.wav,Fireworks,0
442,0c7ae294.wav,Applause,1
443,0c7eb4eb.wav,Tearing,0
445,0ca8b59b.wav,Laughter,1
448,0cbfebc7.wav,Laughter,0
451,0cdfa126.wav,Laughter,1
457,0d0d1b88.wav,Applause,0
460,0d2047b5.wav,Drawer_open_or_close,1
468,0d74110a.wav,Drawer_open_or_close,0
469,0d79765a.wav,Bark,1
471,0d804b40.wav,Applause,1
477,0db954fa.wav,Applause,0
478,0dbdffe2.wav,Fireworks,1
479,0dc26ae9.wav,Laughter,1
485,0dfcedf6.wav,Applause,0
486,0e19ed55.wav,Cowbell,0
493,0e451691.wav,Drawer_open_or_close,1
498,0e5cab29.wav,Tearing,1
504,0e7f9fdb.wav,Keys_jangling,0
507,0e979b8c.wav,Cowbell,1
508,0e9cb14e.wav,Fireworks,1
511,0ec012fc.wav,Laughter,0
518,0f01e836.wav,Tearing,0
521,0f1dbff5.wav,Applause,0
522,0f23d7e4.wav,Tearing,1
523,0f274e7a.wav,Meow,0
527,0f36e49a.wav,Cowbell,1
528,0f444884.wav,Keys_jangling,0
532,0f6e2a63.wav,Laughter,0
535,0f7f0d86.wav,Laughter,0
538,0f96c40d.wav,Tearing,0
543,0fb464cf.wav,Applause,0
551,0ff6fdf5.wav,Bark,0
563,103dfb7c.wav,Drawer_open_or_close,0
580,1094232e.wav,Drawer_open_or_close,0
588,10efbc5b.wav,Cowbell,0
595,1133db9b.wav,Drawer_open_or_close,0
597,113c5e2f.wav,Drawer_open_or_close,1
598,11439cbd.wav,Bark,0
601,1152dffc.wav,Keys_jangling,0
612,118413f9.wav,Fireworks,1
618,1199128e.wav,Fireworks,0
624,11c90896.wav,Cowbell,1
626,11cf5942.wav,Bark,0
628,11d93cd3.wav,Drawer_open_or_close,0
632,11e63946.wav,Laughter,1
639,120536d6.wav,Applause,0
640,1207a675.wav,Drawer_open_or_close,1
642,120e0846.wav,Bark,1
652,1238c3a4.wav,Meow,0
672,13043bab.wav,Fireworks,1
676,1329c048.wav,Drawer_open_or_close,1
686,13903b82.wav,Meow,1
687,1391883f.wav,Bark,0
695,13db0700.wav,Drawer_open_or_close,0
697,13ee6c44.wav,Bark,0
700,1401c7ff.wav,Bark,0
712,14577fc0.wav,Laughter,1
713,14683a1c.wav,Applause,0
716,146d5e25.wav,Bark,0
720,147f61ff.wav,Bark,0
728,14b4f917.wav,Applause,0
730,14c476ad.wav,Tearing,0
735,14e1442c.wav,Bark,0
739,14ef39a2.wav,Meow,1
741,14f26483.wav,Bark,0
745,1516d630.wav,Laughter,0
749,1539c925.wav,Tearing,0
757,155b4487.wav,Keys_jangling,1
758,156b378a.wav,Applause,0
763,159ea1c3.wav,Tearing,1
765,15b439e3.wav,Tearing,1
777,15edc230.wav,Fireworks,0
783,161bd007.wav,Bark,0
787,163ecf39.wav,Tearing,0
789,16488606.wav,Fireworks,1
791,164fc190.wav,Drawer_open_or_close,1
798,166e17b0.wav,Drawer_open_or_close,0
800,16833489.wav,Fireworks,0
811,16caff03.wav,Laughter,0
814,16d51b04.wav,Laughter,0
818,16d90624.wav,Fireworks,1
822,16e4d91a.wav,Bark,1
823,16eeb46e.wav,Cowbell,0
829,170946f3.wav,Meow,0
830,170950ce.wav,Drawer_open_or_close,1
831,170eeda2.wav,Applause,1
834,172d7f14.wav,Cowbell,0
835,172e4f11.wav,Cowbell,1
839,174baf55.wav,Laughter,0
842,1760ba6f.wav,Meow,1
846,176c5f52.wav,Bark,0
855,17b9396e.wav,Applause,0
875,184ca1c7.wav,Cowbell,0
878,18683b52.wav,Bark,1
884,188cfb1b.wav,Laughter,1
885,18950b86.wav,Laughter,0
891,18ab257b.wav,Bark,1
893,18b3013e.wav,Fireworks,0
894,18c0fa51.wav,Bark,1
898,18e0f7ac.wav,Bark,1
900,18ee96a7.wav,Tearing,1
911,193240a4.wav,Tearing,0
924,1967e2b2.wav,Applause,0
925,196c8a34.wav,Laughter,0
927,197fe6b5.wav,Keys_jangling,1
929,19965075.wav,Fireworks,0
934,19bf4be6.wav,Tearing,0
937,19df8c61.wav,Tearing,0
942,19fc7498.wav,Meow,0
943,19fe82be.wav,Tearing,0
953,1a6fce36.wav,Keys_jangling,0
954,1a707aaf.wav,Laughter,1
963,1a9d2862.wav,Fireworks,0
972,1ac81bb0.wav,Cowbell,0
976,1ae93472.wav,Meow,0
979,1b17feba.wav,Drawer_open_or_close,1
981,1b246359.wav,Laughter,0
990,1b5d4f7c.wav,Cowbell,0
992,1b66a9f0.wav,Cowbell,1
994,1b73bbfd.wav,Applause,0
1005,1b9c5af1.wav,Drawer_open_or_close,1
1022,1c3b4067.wav,Applause,0
1025,1c3e1a54.wav,Fireworks,0
1026,1c3ed083.wav,Fireworks,0
1029,1c520cae.wav,Fireworks,0
1044,1cccb873.wav,Laughter,1
1051,1d08bd6d.wav,Applause,0
1053,1d119cfc.wav,Applause,0
1060,1d28b9cb.wav,Bark,1
1064,1d542616.wav,Keys_jangling,1
1068,1d8502f5.wav,Bark,1
1072,1db1b17c.wav,Tearing,0
1075,1dc3679a.wav,Laughter,0
1091,1e227aa6.wav,Fireworks,0
1098,1e5fd361.wav,Bark,0
1101,1e6d0052.wav,Fireworks,0
1115,1ee68efd.wav,Bark,0
1116,1ef88b6d.wav,Fireworks,0
1120,1f095666.wav,Fireworks,1
1122,1f2354e3.wav,Applause,0
1135,1f83b349.wav,Laughter,0
1138,1fac40bb.wav,Meow,0
1143,1fd57590.wav,Tearing,0
1145,1fda17e4.wav,Cowbell,1
